COC1=CC=CC(=C1F)C2=CNC(=O)C=C2
CC1=C(C(=NN1C)C)C(C)C(=O)NS(=O)(=O)C2=CC=C(C=C2)Cl
CCC1=CC=CC=C1N2C[C@H](CC2=O)C(=O)NC3=CC(=C(C=C3)NS(=O)(=O)C)OC
C[C@]12CCC(=O)C=C1CC[C@H]3[C@H]2[C@@H](C[C@@]4([C@H]3CC[C@]4(C(=O)CO)O)C)O
CC1=CC(=CC(=C1S(=O)(=O)NC(CNC(=O)C2=CN(C3=C(C2=O)C=CC(=C3)CNC4=NC=CN4C)C)C(=O)OC)C)OCCCC(=O)NCCNC(=O)C(CS(O)(O)O)NC(=O)C(CS(O)(O)O)N
CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)NCCCCNCCCCNC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C
CCN(CC)S(=O)(=O)C1=CC=CC(=C1)NC(=O)CN2CCC(CC2)C(=O)C3=CC=CC=C3
CC(C)NC(=O)NC1=CC=C(C=C1)C(=O)NCCC2=CNC3=CC=CC=C32
CC1=NC2=CC=CC=C2C(=C1)C(=O)N3CCN(CC3)CC4=NC5=CC=CC=C5S4
COC1=CC=C(C=C1)S(=O)(=O)N2CC(OC3=C2C=C(C=C3)Cl)C(=O)OC
COC1=CC=C(C=C1)CN2C3=C(C=C(C=C3)Cl)C(=CC(C2=O)CC4=CC=CC=C4Br)Br
C[C@@H]([C@@H]1CCCO1)NC(=O)C2=CC=C(S2)Cl
CCC[NH+](C[C@H]1COC2=CC=CC=C2O1)CC(=O)NC3=CC4=C(C=C3Cl)OCO4
CCN1C(=CC(C2=C1CC(CC2=O)(C)C)C3=CC=C(C=C3)C4=CC=CC=C4)C
C1CN(CC=C1C2=CNC3=C2C=C(C=C3)Cl)C(=O)C4=CC(=CN=C4)Br
CCCNCCN(C)CC1=NC=CC=N1
CCCCOC1=C(C=C(C=C1Br)/C=C\2/C(=O)OC(=N2)C3=CC(=C(C=C3)I)C)Br
C[C@]1(C(=O)N(C(=O)N1)CC(=O)N[C@H](CC2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4
CCCCCCCCN(C=O)C(=O)C1=CC=CC=C1
C1COC2=C(C1NC(=O)CCCN3C4=C(C=C(C=C4)[N+](=O)[O-])OC3=O)C=C(C=C2)Br
CCCN1C2=CC=CC=C2N=C1CCCCCNC(=O)C(=C)C
C1CC1NCCNC2=C(C(=C(C=C2)C(=O)O)F)F
COC1=CC=C(C=C1)C2C(=C(C(=O)N2C3=NN=C(S3)SCC4=CC=CC=C4Cl)O)C(=O)C5=CC6=CC=CC=C6O5
C1CCN(C1)S(=O)(=O)N2CCC(CC2)C3=CC(=NN3)C(=O)NCC(F)(F)F
CC1=CN=C(S1)NC(=O)/C=C/C2=C(N(N=C2C)CC3=CC=CC=C3)Cl
CC1=C(C(=CC=C1)Cl)NC(C)C(=O)OCC2CC2
C1=CC=C(C=C1)CC2=NC(=CS2)CC(=O)NC3=CC(=CC=C3)I
CC(C)NC(=O)C1CCN(CC1)C(=O)C2=CC(=NC3=CC=CC=C32)C4=CC=CS4
C1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C(=O)N3)C(=O)NC4=CC=C(C=C4)F
C#CCN1C2=C(C=C(C=C2)S(=O)(=O)N)SC1=NC(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCC5=CC=CC=C54
CCC\1=C(C(=O)N/C1=C\C2=C(C(=C(N2)C)C3=CC=C(C=C3)C(=O)O)C)C
C1=CNC2=NC=NC(=C21)C(=O)NCC3=NC=C(S3)C(=O)NC4=NC=C(C(=C4)C(F)(F)F)Cl
CC1=CN=C(C=N1)N2C[C@H]3[C@@H]2CN(CC3)C(=O)C4=C(C(=CC=C4)F)N5N=CC=N5
C1CC(OC1)CN2C(=NC3=NC4=CC=CC=C4N=C32)C5=CC(=CC=C5)Cl
CC1=CC=CC=C1C2=NOC(=N2)N3CCC(CC3)C(=O)NCC4=CC=CS4
COCC1=C(C=CC(=C1)[N+](=O)[O-])C2=C(C(=O)NC=C2)Br
CC1=C(N(C2C1=CC=CN2OCC3=CC=C(C=C3)F)CC#C)C.Cl
CC1CCC(NC1)CC2=CC3=C(C=C2)OCCCO3
CC(C)(C)[Si](C)(C)OC(CCC1C(N(C1=O)C2=CC=C(C=C2)F)C3=C(C=C(C=C3)OCC4=CC=CC=C4)OCOCC[Si](C)(C)C)C5=CC=C(C=C5)F
CN=C(NCCCOCC1CC1)NCC2=NC(=CC=C2)OC
CC(C1=CC(=CC=C1)OCC2=CC=CS2)NC
CCN1C2=NC=C(C(=C2C=N1)NC3CCN(CC3)C(=O)N)C(=O)NCC4=C(C=CC=C4C5=CC=CC=C5)C
CCC[C@@H](C1=CC=CC=C1)NC(=O)C2=C(C=C(C=C2)F)Cl
C[C@@H]1CCC2=C(C1)SC(=C2C(=O)OC(C)C)NC(=O)CCCCl
CCC(C(=O)N(CC)CC)S(=O)(=O)O
CC(C)N=C(C1=CC2=C(S1)C=CS2)NN
CC(C)CNC(=O)C1=NC(=CC=C1)C(=O)OC
CCCC[C@@H]1CN2CCC3=CC(=C(C=C3[C@H]2C[C@@H]1N)OC)O
CC1=CN=C(C=C1)NS(=O)(=O)C[C@H]2CCCN2
C1CCC2=C(CC1)SC(=C2C#N)NC(=O)CC[NH+]3CCN(CC3)C4=NC=CC=N4
CCOC(=O)C1=CN=C(S1)N2CC3C(C2)C3NC(=O)C4=C(C(=C(N4)C)Cl)Cl
C1=CC2=C(C(=C1)Br)C(=C(S2)C(=O)NC3=NOC=C3)Cl
CCCNCCCCCC1=NC2=C(C=C1)C=C(C=C2)CN
C1[C@@H]2CNC[C@H]2OC3=CC=CC=C31
C1CCC2(C1)[C@@H](CC(=O)O2)C3=NC(=NN3C4=CC=CC=C4F)CC(=O)N
CN1C=C(C=C1C(=O)N)S(=O)(=O)NC2=C(C=CN=C2)Cl
C1C[C@H]([NH+](C1)CC(=O)NC2=CC=C(C=C2)C#N)C(=O)NC3=C(C=C(C=C3)Cl)Cl
C1=CC2=C(C=C1Cl)NC(=O)C(=N2)N
C1C[C@@H](OC1)CN2C(=O)[C@](NC2=O)(C3CCN(CC3)C(=O)CC4=CC(=CC(=C4)F)F)C5=CC=CC=N5
CC(C(=O)NCC[NH+](C)C)N1C(SCC1=O)C2=CC(=C(C=C2)Cl)Cl
C[C@H]1CC2=CC=CC=C2N1C(=O)[C@@H](C)NC3=CC(=C(C=C3)NC(=O)C)OC
CC1=CC(=C(N1C2=CC=CC=N2)C)C(=O)N3CCC(=CC3)C4=CNC5=C4C=CC(=C5)F
COC1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=C(C=C3)OC)OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=NC6=C5NC=NC6=O)OC7CCCO7)O
